,count,unique,top,freq,mean,std,min,25%,50%,75%,max
price,215604.0,,,,20323.646309901487,13525.991112839896,5000.0,9777.0,16900.0,27900.0,100000.0
year,215604.0,,,,2011.9986224745367,7.725117923499714,1967.0,2010.0,2014.0,2017.0,2022.0
manufacturer,215604,31,ford,35204,,,,,,,
model,215604,31,other,175592,,,,,,,
condition,215604,7,unknown,78457,,,,,,,
cylinders,215604,9,unknown,83924,,,,,,,
fuel,215604,6,gas,180428,,,,,,,
odometer,215604.0,,,,87259.96220849335,57847.53145228716,0.0,38000.0,82383.5,126000.0,300000.0
title_status,215604,7,clean,204274,,,,,,,
transmission,215604,4,automatic,170572,,,,,,,
drive,215604,4,4wd,70250,,,,,,,
type,215604,14,unknown,44190,,,,,,,
paint_color,215604,13,unknown,55870,,,,,,,
state,215604,31,other,25620,,,,,,,
vehicle_age,215604.0,,,,14.001377525463349,7.725117923499714,4.0,9.0,12.0,16.0,59.0
is_expensive,215604.0,,,,0.49888684811042466,0.4999999204257136,0.0,0.0,0.0,1.0,1.0
