feature,importance
vehicle_age,0.22726527653370954
year,0.20825919850548416
odometer,0.11491979219293691
drive_fwd,0.10110454066524092
fuel_diesel,0.0946523254482237
cylinders_8 cylinders,0.041836902249723446
cylinders_4 cylinders,0.023929953492841563
drive_4wd,0.01860714108855942
type_pickup,0.007693343922523542
model_unknown,0.006640430748268623
model_corvette,0.0060706951902583265
cylinders_6 cylinders,0.00559619647764749
transmission_other,0.0051624514910591475
manufacturer_mercedes-benz,0.0050427798858181105
manufacturer_volkswagen,0.004566300858737682
drive_unknown,0.004542639035701702
manufacturer_other,0.004536312509431781
type_suv,0.0044770562902682574
condition_good,0.0039835952461547116
type_truck,0.003763650996934427
type_sedan,0.003599081858242399
title_status_clean,0.0035158535856526845
manufacturer_audi,0.003350723868343669
manufacturer_mitsubishi,0.0032581948148121724
fuel_gas,0.0031832301649675643
manufacturer_nissan,0.0030488385863600065
manufacturer_rover,0.0028171617698769134
manufacturer_ford,0.002661298134383777
manufacturer_unknown,0.0025970783989556438
manufacturer_bmw,0.0025664402684653044
transmission_automatic,0.002525490634305374
fuel_other,0.0024808351840186417
condition_unknown,0.0024040098979073634
manufacturer_toyota,0.002274285576500284
type_other,0.002055737786232959
manufacturer_lexus,0.001985442025410104
drive_rwd,0.0017391723278170957
cylinders_unknown,0.00172612309423112
type_coupe,0.0016827885976341916
manufacturer_gmc,0.0016809910709767025
manufacturer_jeep,0.0016652573759587505
manufacturer_ram,0.0016649198834901055
type_unknown,0.001488018829853495
condition_excellent,0.0014720055800977814
manufacturer_dodge,0.0014649303713873388
paint_color_white,0.0014301602853160887
manufacturer_chevrolet,0.0014268689493414056
cylinders_10 cylinders,0.0013307737659631115
type_hatchback,0.0012650475702674527
condition_like new,0.0012312696378114494
manufacturer_cadillac,0.0012287954982377939
type_convertible,0.0011961413893629954
type_van,0.0011944517202209864
transmission_manual,0.001181385365631406
manufacturer_acura,0.00109616695186941
state_ca,0.0010614885053589758
manufacturer_hyundai,0.0010474569022553297
cylinders_12 cylinders,0.0010469021323840511
paint_color_black,0.00100555528000043
title_status_unknown,0.000973100515565103
title_status_salvage,0.0008542742960209129
manufacturer_lincoln,0.0008405630026978182
paint_color_unknown,0.0008108985421505523
manufacturer_kia,0.0007695330028558573
paint_color_red,0.0007689316099981424
state_tx,0.0007671345700664311
model_1500,0.0007603244711978568
title_status_rebuilt,0.0007549396351480335
condition_fair,0.0006966546426674676
state_or,0.0006779376292366821
state_fl,0.0006683217433037798
model_other,0.0006620227816251086
manufacturer_honda,0.0006276385080275207
model_wrangler,0.0006257269740333703
state_wa,0.0006075541343956364
manufacturer_subaru,0.0005930816798219266
state_pa,0.0005910380786659794
paint_color_silver,0.0005729861736729383
paint_color_blue,0.0005413379711321192
model_f-150,0.0005296278107760695
manufacturer_volvo,0.0005290875217242809
state_mt,0.0005042930772087989
paint_color_yellow,0.0004975574971947797
model_f-250,0.0004944144409473892
state_ny,0.000487254704562485
state_other,0.00048250518273852927
state_nc,0.00041541376068129514
fuel_electric,0.00041186748253627483
paint_color_orange,0.00041121263515092897
fuel_unknown,0.0004007371616013686
manufacturer_jaguar,0.0003996487156546717
paint_color_grey,0.0003926426651259551
paint_color_green,0.00038520172814821246
state_mi,0.00036274599270039
state_nj,0.00034460929295677153
title_status_lien,0.0003393761399159037
state_co,0.0003365515861279608
state_ok,0.00033551900419104454
state_id,0.0003344068528787901
state_oh,0.000322965071439888
cylinders_3 cylinders,0.0003184248762505102
model_3500,0.00031527515042348937
condition_new,0.0003101877477067379
paint_color_custom,0.000307896273748566
state_tn,0.00029352573981647907
state_az,0.00028963765980846256
state_wi,0.0002805153070317082
state_al,0.000279085542499145
model_2500,0.0002748009259704866
state_ia,0.0002626398690548549
model_mustang,0.00025975625205347844
type_offroad,0.0002544516000945894
model_silverado 2500hd,0.0002531625816442945
state_mn,0.00024701318001379714
state_sc,0.00024126603927197794
type_bus,0.00023917273454510042
state_ma,0.00020747251552415423
transmission_unknown,0.00020647223817971176
state_ga,0.00020175019346490317
state_in,0.00019042894648979472
model_escape,0.00018237061818060746
paint_color_brown,0.0001819902623466177
state_il,0.00018179643835710937
type_wagon,0.00017705108332303641
state_ks,0.0001686471264647358
model_silverado,0.00016210661914236132
manufacturer_buick,0.00015849599808123266
paint_color_purple,0.00015219841355108862
model_tahoe,0.0001491170736375143
model_grand cherokee,0.00014434458529099652
model_silverado 1500,0.00014174157806995787
state_ct,0.00013936638516557007
state_ky,0.00013028771707340232
fuel_hybrid,0.0001246258276766277
manufacturer_chrysler,0.00012288116177615072
manufacturer_mini,0.00010904916304772866
manufacturer_infiniti,0.00010158527756408508
model_sierra 1500,9.592273020971905e-05
manufacturer_mazda,9.485203651800911e-05
cylinders_other,8.839657698163758e-05
state_va,8.71724821641023e-05
type_mini-van,7.708142946736394e-05
model_explorer,7.64060080987086e-05
model_tacoma,6.97188970602184e-05
model_tundra,6.626846544310091e-05
title_status_missing,4.644972682799175e-05
model_camry,4.635167443945629e-05
model_rav4,4.629439982428515e-05
cylinders_5 cylinders,4.3572679819312655e-05
condition_salvage,3.6709691912872616e-05
model_accord,3.484955243519211e-05
model_fusion,3.447296796182694e-05
model_cruze,2.389265178380561e-05
title_status_parts only,2.2789826515639236e-05
model_civic,1.7985764048425397e-05
model_equinox,1.2637273255965379e-05
model_cr-v,1.0727670916009585e-05
model_altima,1.0674910236622588e-05
model_corolla,9.773078850508023e-06
model_outback,3.8140469173334287e-06
