manufacturer,count,mean,median
ram,8972,30323.721466785555,29464.0
jaguar,1116,27172.659498207886,28590.0
rover,1305,29874.13639846743,27990.0
audi,4427,24948.45583916874,24489.0
gmc,8531,25686.18415191654,22990.0
infiniti,2752,21865.888081395347,21590.0
lincoln,2212,22153.240958408678,21500.0
lexus,4749,21223.62665824384,19999.0
mercedes-benz,6180,22962.719417475728,19800.0
other,3674,23582.48856831791,19590.0
jeep,9968,21294.76855939005,18997.0
cadillac,3690,22285.331707317073,18995.0
acura,3184,21072.221733668342,18990.0
bmw,8006,21290.438171371472,18500.0
ford,35204,22276.82430973753,17995.0
volvo,1615,20428.195665634674,16999.0
chevrolet,27181,21177.878591663295,16995.0
mitsubishi,1578,16617.04752851711,16995.0
unknown,6990,21129.205865522174,15990.0
buick,2531,17472.299881469775,15988.0
dodge,6286,18997.50477251034,14998.5
toyota,17922,18214.76297288249,14995.0
subaru,5588,15518.239620615605,13900.0
volkswagen,4996,14983.573458767014,13497.0
mini,1428,15128.497899159664,12997.5
kia,4346,14335.056373676944,12995.0
mazda,2634,14700.987471526196,12521.0
hyundai,5171,13606.940630438987,11998.0
nissan,9730,14493.587872559096,11995.0
honda,10905,13824.311600183402,11873.0
chrysler,2733,13591.141236736188,10995.0
